Location,Lamp Hrs,Lamp Hours(2),Projector Type,Filter Hrs,Lamp Status,Last Checked,Prev. Inc.,Model: Control | TP,IP: Control | TP  ,FW: Control | TP,AMX IP,Last Checked,Notes
FAC2006,1794,N/A,Panasonic PT-VZ575N,0,GOOD,4/12/2019,"INC0105288
",DMPS3-4K-100-C,192.168.80.136,1.501.2958.31007 (Feb 06 2017),,5/18/2018,"System- 
Components: Crestron TSW-760-TTK-B-S Touchpanel(6507727) and DMPS3-4K-100-C, WoflVision VZ-8light^3 Document Camera(Inv. #: Black and White: 18745)(S/N: 1021704), Logitech Webcam | Sources: Computer, Laptop VGA, Laptop HDMI, Doc Cam, IPOD AUDIO | "
HPC2185,1071,N/A,Epson 4200W,,GOOD,7/27/2018,,MPC-M5,192.168.80.80,,,5/18/2018,
HPC2255,1856,N/A,NEC NP-P502WL-2,0,GOOD,6/6/2019,INC0124023,DMPS3-200-C,192.168.80.184,1.501.2843.20911,,5/18/2018,"System- 
Components: Crestron TSW-750-TTK-B-S Touchpanel(6506065) and DMPS3-200-C, Canon Visualizer RE-450X Document Camera(Inv.#: None)(S/N: 2630000282), Epiphan DVI2USB and SDI2USB adapters, Crown ceiling microphone, LG 60LX341C TV(Inv. #: None)(S/N: 511RMLM3N720), Logitech Webcam | Sources: Computer, Laptop VGA, Laptop HDMI, Doc Cam | "
HPC3010,1415,N/A,NEC NP-P502WL-2 Laser,0,GOOD,4/12/2019,"INC0105291
",DMPS3-4K-150-C,192.168.80.214,1.502.3205.17254,,5/18/2018,"System- 
Components: Crestron DMPS3-4k-150-C(Inv. #: None)(S/N: 14367117), TSW-750-TTK-B-S Touchpanel(6506065), HD-DA-2(Inv. #: None)(S/N: 13771482), and MP-AMP30, CISCO Catalyst 3560-cg managed switch, Delvcam VGA & monitor confidence monitor(619160015), Canon Visualizer RE-450X Document Camera(Inv. #: None)(S/N: 2880110055), Crown ceiling mic, Marshall ceiling cam | Sources: Computer, Laptop VGA, Laptop HDMI, Doc Cam | "
HPC3035,110,N/A,Epson 6110i,110,GOOD,2/20/2018,Old/Not used,,,,,5/18/2018,
HPC3055,1419,N/A,NEC NP-P502WL-2 Laser,0,GOOD,4/12/2019,,DMPS3-200-C,192.168.80.161,1.502.3175.21489,,,"System- 
Components: Crestron TSW-750-TTK-B-S Touchpanel(6506065) and DMPS3-200-C(Inv. #: None)(S/N: 12036969)(P/N: 6506614), Cisco Managed Switch(Model: Catalyst 3560-CG)(Inv. #: None)(S/N: F0C1729Y02F), J-Tech Digital 1x4 HDMI Splitter(Model: JTD0104/4K), Kramer PT-571 HDMI Line Transmitter, QSC Direct 70V Amp(Model: CX240V)(S/N: 060452173), RDL EZ-MPA1 Mic Preamp, WolfVision VZ-8light Document Camera(Inv. #: None)(S/N: 089289), Epiphan SDI and DVI 2USB adapters, Crown Ceiling Mic, Marshall Ceiling Cam | Sources: Computer, Laptop VGA, Laptop HDMI, Doc Cam | "
HPR132,(PC Only),,None,,,?,,,,,,5/18/2018,
HPR134,TV,N/A,TV,0,GOOD,5/15/2019,INC0105492,DMPS3-4K-100-C,10.20.12.12,1.501.2958.31007 (Feb 06 2017),,5/18/2018,"System- 
Components: 
Crestron- 
? TSW-760-B-S Touchpanel(6507727) 
? DMPS3-4K-100-C(Inv. #: None)(S/N: 15977845)(Mfg. Date: SEP-16) 
? HD-DA-2(Inv. #: None)(S/N: 13771565) 
? MP-AMP30(Inv. #: None)(S/N: 16712162) 
SMART SDC-330, Doc Cam(Inv. #: None)(S/N: E01B034202)(Mfg. Date: DEC2010), Cisco Catalyst 3560-CG Series PoE Managed Switch(Inv. #: None)(S/N: FOC1728Y5Y0)(Mfg. Date: 20130714)(HPR-134-ITV), Logitech Webcam | Sources: Computer, Laptop VGA, Laptop HDMI, Doc Cam |"
HPR135,3493,N/A,Panasonic PT-VZ575N,0,GOOD,5/15/2019,"INC0105496
",DMPS3-4K-100-C,192.168.80.134,,,,"System- 
Components: 
Crestron- 
? TSW-760-TTK-B-S (6507727) Touchpanel 
? DMPS3-4K-150-C(Inv. #: None)(S/N: 15630402)(Mfg. Date: JUN-16) 
Cisco Catalyst 3560-CG-8PC-S Series PoE Managed Switch(Inv. #: None)(S/N: FOC1727YOWV)(Mfg. Date: 20130720), Smart Board 800, CAT5-XT-1100(S/N: J012HW21A0620)(Mfg. Date: 2015/21), AudioSource Amp 100(Inv. #: None)(S/N: 1004807), WolfVision VZ-8plus^2 Document Camera(Inv. #: Black and White: 16429)(S/N: 0850968), Logitech Webcam | Sources: Computer, Laptop VGA, Laptop HDMI, Doc Cam | "
HPR146,Old/Not used,N/A,3M MP-8670,?,GOOD,5/26/2015,Old/Not used,,,,,5/18/2018,
HPR235,744,N/A,Epson 6100i,169,GOOD,5/15/2019,,,,,,,"System- The system in this room is minimal 
Components: Computer, Projector, Logitech Webcam | Sources: N/A / Computer | "
HPR247,3772,N/A,Panasonic PT-VZ575N,1989,GOOD,5/17/2019,,DMPS3-4K-100-C,192.168.80.102,1.502.3205.17254 (Oct 11 2017),,5/18/2018,"System- 
Components: Crestron TSW-750-TTK-B-S Touchpanel and DMPS3-4K-150-C, Canon RE-450X Doc Cam(Inv. #: None)(S/N: 2670110095), Epiphan DVI and SDI 2 USB adapters, Marshall Ceiling Cam, Crown Ceiling Mic, Logitech Webcam | Sources: Computer, Laptop VGA, Laptop HDMI, Doc Cam | "
HPR248,0,N/A,Panasonic PT-VZ575N,0,GOOD,5/17/2019,,VP-770,192.168.80.159,4.003.0015 (Oct 04 2010),,,"System- This room has less than other classrooms 
Components: Crestron MPS-100, XPanel, desk-top speakers, Epson projector remote, Logitech Webcam | Sources: Computer, Laptop | "
